"NAME","TOTPOP","RATED","STATE"
"Tensas Parish Detention Center",497,500,19
"Webster Parish Sheriffs Office",631,654,19
"East Baton Rouge Parish Sheriffs Office",956,1420,19
"Lafayette Parish Sheriffs Office",674,770,19
"Orleans Parish Sheriffs Office",1112,2081,19
"Morgan City Police Department",18,100,19
"Terrebonne Parish Criminal Justice Complex",546,612,19
"Bogalusa City Police Department",25,25,19
"LaSalle Correctional Center",669,757,19
"Richland Parish Sheriffs Office",645,816,19
"Franklin County Sheriffs Office",21,39,20
"Hancock County Jail",63,58,20
"Two Bridges Regional Jail",149,210,20
"Waldo County Sheriffs Office",19,36,20
"Anne Arundel County Department of Detention Facilities",1009,1175,21
"Calvert County Detention Center",126,330,21
"Cecil County Sheriffs Office - Cecil County Detention Center",358,233,21
"Dorchester County Department of Corrections",163,281,21
"Frederick County Sheriffs Office Corrections Bureau",558,404,21
"Kent County Detention Center",32,78,21
"Montgomery County Department of Correction and Rehabilitation",1585,1163,21
"Prince Georges County Department of Corrections",1440,1525,21
"Somerset County Detention Center",61,120,21
"Washington County Sheriffs Office",378,581,21
"Worcester County Jail",168,500,21
"Division of Pretrial Detention and Services (DPDS)",2146,3092,21
"Barnstable County Sheriffs Office",190,588,22
"Berkshire County Sheriffs Office",138,469,22
"Bristol County Sheriffs Office",664,1612,22
"Essex County Sheriffs Department",992,1472,22
"Hampden County Correctional Center",1036,2346,22
"Middlesex Sheriffs Office",671,1464,22
"Norfolk Sheriffs Office",326,302,22
"Plymouth County Sheriffs Department",500,1140,22
"Worcester County Sheriffs Office",660,1250,22
"Suffolk County Sheriffs Department - House of Correction",760,2000,22
"Suffolk County Sheriffs Department - Nashua Street Jail",390,744,22
"Allegan County Sheriffs Office",134,225,23
"Calhoun County Sheriffs Office",457,630,23
"Genesee County Sheriffs Office",694,580,23
"Hillsdale County Sheriffs Office",68,67,23
"Jackson County Sheriffs Office",256,468,23
"Kalamazoo County Sheriffs Office",299,482,23
"Kent County Sheriffs Office",953,1477,23
"Macomb County Sheriffs Office",897,1082,23
"Midland County Sheriffs Office",173,274,23
"Monroe County Sheriffs Office",246,363,23
"Muskegon County Sheriffs Office",326,542,23
"Newaygo County Sheriffs Office",270,342,23
"Oakland County Sheriffs Office",1243,1664,23
"Ottawa County Sheriffs Office",298,462,23
"Presque Isle County Sheriffs Office",15,23,23
"St. Clair County Sheriffs Office",362,491,23
"Washtenaw County Sheriffs Office",318,407,23
"Wayne County Sheriffs Office",2942,1585,23
"Brown County Sheriffs Office",11,56,24
"Fillmore County Sheriffs Office",11,20,24
"Hennepin County Adult Corrections",313,465,24
"Hennepin County Sheriffs Office",697,835,24
"Hubbard County Sheriffs Office",62,98,24
"Lake of the Woods County Sheriffs Office",4,7,24
"Olmsted County Sheriffs Office",110,292,24
"Otter Tail County Sheriffs Office/Detention Facility",46,111,24
"Scott County Sheriffs Office",108,210,24
"Sherburne County Sheriffs Office",487,732,24
"Wright County Sheriffs Office",146,288,24
"Tri County Community Corrections",178,200,24
"Arrowhead Regional Corrections",95,144,24
"Chickasaw County Sheriffs Office",344,430,25
"DeSoto County Sheriffs Department",450,568,25
"Forrest County Sheriffs Office",282,600,25
"Harrison County Sheriffs Office",734,760,25
"Issaquena County Correctional Facility",335,400,25
"Itawamba County Sheriffs Office",125,150,25
"Jefferson County Sheriffs Office - Jefferson County Jail",13,44,25
"Jefferson County Sheriffs Office - Jefferson-Franklin Correctional Facility",265,280,25
"MDOC Division of Institutions - Leake County Correctional Facility",433,462,25
"Lee County Sheriffs Office",200,210,25
"Lincoln County Sheriffs Office",86,125,25
"Madison County Detention Center",270,528,25
"Marion County Regional Correctional Facility",490,628,25
"Oktibbeha County Sheriffs Department",60,125,25
"Prentiss County Sheriffs Office",67,70,25
"Rankin County Sheriffs Department",471,650,25
"Stone County Regional Correctional Facility",426,436,25
"Tallahatchie County Correctional Facility - CoreCivic",448,2764,25
"Tallahatchie County Sheriffs Office",24,50,25
"Walthall County Sheriffs Office",23,73,25
"Washington County Regional Correctional Facility",347,550,25
"Yazoo County Regional Correctional Facility",376,385,25
"MDOC Division of Institutions - Carroll/Montgomery Regional Correctional Facility",327,360,25
"George County Sheriffs Office",418,454,25
"MDOC Division of Institutions - Kemper-Neshoba County Regional Corrections Facility",382,442,25
"Barry County Sheriffs Office",20,46,26
"Callaway County Sheriffs Office",84,109,26
"Cass County Sheriffs Office",206,252,26
"Cedar County Sheriffs Office",23,58,26
"Clay County Sheriffs Office",180,380,26
"Crawford County Sheriffs Department",120,126,26
"Greene County Sheriffs Office",732,1242,26
"Jackson County Department of Corrections",918,823,26
"Lincoln County Sheriffs Office",163,215,26
"McDonald County Sheriffs Office",38,64,26
"Phelps County Sheriffs Department",207,263,26
"St. Louis County - Department of Justice Services",1244,1232,26
"Taney County Sheriffs Office",176,268,26
"Texas County Sheriffs Office",46,72,26
"Vernon County Sheriffs Office",119,148,26
"St. Louis Department of Public Safety Division of Corrections",692,857,26
"Daviess-Dekalb Regional Jail",124,140,26
"Dawson County Sheriffs Office",22,24,27
"Lewis & Clark County Sheriffs Office",154,166,27
"Missoula County Sheriffs Office",343,370,27
"Roosevelt County Sheriffs Office",45,52,27
"Cascade County Sheriffs Office",426,365,27
"Clay County Sheriffs Office",7,12,28
"Douglas County Department of Corrections",1191,1449,28
"Keith County Sheriffs Office",11,14,28
"Lancaster County Department of Corrections",1991,786,28
"Lincoln County Sheriffs Office",154,217,28
"Red Willow County Sheriffs Office",19,30,28
"Richardson County Sheriffs Office",22,24,28
"Scotts Bluff County Detention Center",202,286,28
"Las Vegas Metropolitan Police Department",3317,4140,29
"Nye County Sheriffs Office",258,262,29
"Washoe County Sheriffs Office",1196,1430,29
"Henderson Police Department",292,540,29
"City of Las Vegas Department of Public Safety",374,835,29
"Belknap County Department of Corrections",91,144,30
"Coos County Department of Corrections",19,61,30
"Hillsborough County Department of Corrections",339,735,30
"Strafford County Department of Corrections",643,399,30
"Atlantic County Department of Public Safety, Division of Adult Detention",756,920,31
"Burlington County Department of Corrections",258,354,31
"Camden County Department of Corrections",1307,1273,31
"Essex County Correctional Facility",2193,2434,31
"Hudson County Department of Corrections & Rehabilitation",1360,1700,31
"Mercer County Correction Center",503,824,31
"Middlesex County Adult Corrections Center",556,1436,31
"Monmouth County Sheriffs Office",463,1326,31
"Morris County Sheriffs Office",237,524,31
"Ocean County Department of Corrections",300,692,31
"Salem County Sheriffs Office",366,416,31
"Bernalillo County Metropolitan Detention Center",1567,2200,32
"Chaves County Detention Center",240,335,32
"Dona Ana County Detention Center",589,846,32
"Eddy County Detention Center",187,401,32
"Luna County Detention Center",349,610,32
"San Juan County Adult Detention Center",539,1094,32
"Santa Fe County Adult Detention Facility",241,612,32
"McKinley County Adult Detention Center",140,328,32
"Albany County Sheriffs Office",438,938,33
"Cattaraugus County Sheriffs Office",96,148,33
"Cayuga County Sheriffs Office",340,216,33
"Chautauqua County Office of the Sheriff",184,303,33
"Chenango County Sheriffs Office",83,166,33
"Dutchess County Jail",220,294,33
"Erie County Sheriffs Office",758,1384,33
"Fulton County Correctional Facility",89,167,33
"Monroe County Sheriffs Office",773,1614,33
"Nassau County Sheriffs Department",712,1540,33
"Onondaga County Sheriffs Office Correction Department",150,478,33
"Onondaga County Justice Center",492,665,33
"Orange County Sheriffs Office",306,802,33
"Rensselaer County Sheriffs Office",186,473,33
"Saratoga County Sheriffs Office",160,222,33
"Schenectady County Sheriffs Department",198,368,33
"Wayne County Sheriffs Office",64,109,33
"Westchester County Department of Correction",718,1815,33
"New York City Department of Correction",6104,7393,33
"Alamance County Sheriffs Office",354,476,34
"Ashe County Sheriffs Office",104,165,34
"Buncombe County Sheriffs Office",410,524,34
"Catawba County Sheriffs Office",332,598,34
"Craven County Sheriffs Office",344,292,34
"Cumberland County Sheriffs Office",579,884,34
"Dare County Detention Center",77,129,34
"Durham County Sheriffs Office",345,736,34
"Forsyth County Detention Center",750,1016,34
"Gaston County Sheriffs Office",664,598,34
"Guilford CountySheriffs Office",885,1308,34
"Halifax County Sheriffs Office",103,85,34
"Harnett County Sheriffs Office",246,338,34
"Henderson County Sheriffs Office",175,222,34
